"No.","Time","Source","Destination","Protocol","Length","Frame length on the wire","Info"
"58","0.379032","172.17.0.5","194.108.117.16","SSHv2","146","146","Client: "
"59","0.396569","194.108.117.16","172.17.0.5","SSHv2","162","162","Server: "
"60","0.397150","172.17.0.5","194.108.117.16","SSHv2","146","146","Client: "
"61","0.415005","194.108.117.16","172.17.0.5","SSHv2","146","146","Server: "
"62","0.458053","172.17.0.5","194.108.117.16","TCP","66","66","54314  >  22 [ACK] Seq=2217 Ack=14110 Win=42496 Len=0 TSval=3294841657 TSecr=494178935"
"63","0.468686","02:42:ac:11:00:02","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.2"
"64","0.688872","02:42:ac:11:00:0a","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.10"
"65","1.822296","02:42:ac:11:00:0b","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.11"
"66","5.266048","02:42:cf:07:09:94","02:42:ac:11:00:05","ARP","42","42","Who has 172.17.0.5? Tell 172.17.0.1"
"67","5.266054","02:42:ac:11:00:05","02:42:cf:07:09:94","ARP","42","42","172.17.0.5 is at 02:42:ac:11:00:05"
"68","5.418297","172.17.0.5","10.248.16.30","DNS","74","74","Standard query 0x48f9 A test.rebex.net"
"69","5.418351","172.17.0.5","10.248.16.30","DNS","74","74","Standard query 0x0ef2 AAAA test.rebex.net"
"70","5.420567","10.248.16.30","172.17.0.5","DNS","90","90","Standard query response 0x48f9 A test.rebex.net A 194.108.117.16"
"71","5.420579","10.248.16.30","172.17.0.5","DNS","126","126","Standard query response 0x0ef2 AAAA test.rebex.net SOA ns.rebex.cz"
"72","5.420705","172.17.0.5","10.248.16.30","DNS","74","74","Standard query 0x2183 A test.rebex.net"
"73","5.422523","10.248.16.30","172.17.0.5","DNS","90","90","Standard query response 0x2183 A test.rebex.net A 194.108.117.16"
"74","5.422571","172.17.0.5","194.108.117.16","TCP","74","74","48822  >  22 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3294846621 TSecr=0 WS=512"
"75","5.443008","194.108.117.16","172.17.0.5","TCP","74","74","22  >  48822 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=494183962 TSecr=3294846621"
"76","5.443029","172.17.0.5","194.108.117.16","TCP","66","66","48822  >  22 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3294846642 TSecr=494183962"
"77","5.443355","172.17.0.5","194.108.117.16","SSHv2","90","90","Client: Protocol (SSH-2.0-paramiko_3.4.0)"
"78","5.461527","194.108.117.16","172.17.0.5","SSHv2","95","95","Server: Protocol (SSH-2.0-RebexSSH_5.0.8606.0)"
"79","5.461541","172.17.0.5","194.108.117.16","TCP","66","66","48822  >  22 [ACK] Seq=25 Ack=30 Win=42496 Len=0 TSval=3294846660 TSecr=494183981"
"80","5.463005","194.108.117.16","172.17.0.5","SSHv2","1074","1074","Server: Key Exchange Init"
"81","5.463015","172.17.0.5","194.108.117.16","SSHv2","1266","1266","Client: Key Exchange Init"
"82","5.524414","194.108.117.16","172.17.0.5","TCP","66","66","22  >  48822 [ACK] Seq=1038 Ack=1225 Win=2096896 Len=0 TSval=494184045 TSecr=3294846662"
"83","5.524426","172.17.0.5","194.108.117.16","SSHv2","114","114","Client: Elliptic Curve Diffie-Hellman Key Exchange Init"
"84","5.543098","194.108.117.16","172.17.0.5","SSHv2","258","258","Server: Elliptic Curve Diffie-Hellman Key Exchange Reply"
"85","5.543113","194.108.117.16","172.17.0.5","SSHv2","82","82","Server: New Keys"
"86","5.543115","194.108.117.16","172.17.0.5","SSHv2","466","466","Server: "
"87","5.543813","172.17.0.5","194.108.117.16","SSHv2","82","82","Client: New Keys"
"88","5.601691","194.108.117.16","172.17.0.5","TCP","66","66","22  >  48822 [ACK] Seq=1646 Ack=1289 Win=2096640 Len=0 TSval=494184123 TSecr=3294846743"
"89","5.601708","172.17.0.5","194.108.117.16","SSHv2","130","130","Client: "
"90","5.620617","194.108.117.16","172.17.0.5","SSHv2","130","130","Server: "
"91","5.620958","172.17.0.5","194.108.117.16","SSHv2","162","162","Client: "
"92","5.640038","194.108.117.16","172.17.0.5","SSHv2","114","114","Server: "
"93","5.640474","172.17.0.5","194.108.117.16","SSHv2","114","114","Client: "
"94","5.640815","172.17.0.5","194.108.117.16","SSHv2","146","146","Client: "
"95","5.658389","194.108.117.16","172.17.0.5","SSHv2","130","130","Server: "
"96","5.658829","172.17.0.5","194.108.117.16","SSHv2","146","146","Client: "
"97","5.659380","194.108.117.16","172.17.0.5","SSHv2","114","114","Server: "
"98","5.659397","172.17.0.5","194.108.117.16","SSHv2","114","114","Client: "
"99","5.659422","172.17.0.5","194.108.117.16","TCP","66","66","54314  >  22 [RST, ACK] Seq=2313 Ack=14158 Win=42496 Len=0 TSval=3294846858 TSecr=494184180"
"100","5.676910","194.108.117.16","172.17.0.5","SSHv2","130","130","Server: "
"101","5.677100","194.108.117.16","172.17.0.5","SSHv2","114","114","Server: "
"102","5.677646","172.17.0.5","194.108.117.16","TCP","66","66","48822  >  22 [ACK] Seq=1609 Ack=1934 Win=42496 Len=0 TSval=3294846877 TSecr=494184198"
"103","5.677954","172.17.0.5","194.108.117.16","SSHv2","130","130","Client: "
"104","5.696399","194.108.117.16","172.17.0.5","SSHv2","178","178","Server: "
"105","5.696963","172.17.0.5","194.108.117.16","SSHv2","178","178","Client: "
"106","5.715526","194.108.117.16","172.17.0.5","SSHv2","162","162","Server: "
"107","5.717131","172.17.0.5","194.108.117.16","SSHv2","178","178","Client: "
"108","5.735506","194.108.117.16","172.17.0.5","SSHv2","146","146","Server: "
"109","5.736457","172.17.0.5","194.108.117.16","SSHv2","146","146","Client: "
"110","5.755142","194.108.117.16","172.17.0.5","SSHv2","1514","1514","Server: "
"111","5.755156","194.108.117.16","172.17.0.5","SSHv2","1514","1514","Server: "
"112","5.755165","194.108.117.16","172.17.0.5","SSHv2","1514","1514","Server: "
"113","5.755166","194.108.117.16","172.17.0.5","SSHv2","1514","1514","Server: "
"114","5.755168","194.108.117.16","172.17.0.5","SSHv2","1514","1514","Server: "
"115","5.755169","194.108.117.16","172.17.0.5","SSHv2","1514","1514","Server: "
"116","5.755171","194.108.117.16","172.17.0.5","SSHv2","1514","1514","Server: "
"117","5.755172","194.108.117.16","172.17.0.5","SSHv2","1514","1514","Server: "
"118","5.755173","194.108.117.16","172.17.0.5","SSHv2","98","98","Server: "
"119","5.755179","172.17.0.5","194.108.117.16","TCP","66","66","48822  >  22 [ACK] Seq=1977 Ack=12358 Win=35840 Len=0 TSval=3294846954 TSecr=494184270"
"120","5.755304","172.17.0.5","194.108.117.16","TCP","66","66","48822  >  22 [ACK] Seq=1977 Ack=13838 Win=42496 Len=0 TSval=3294846954 TSecr=494184270"
"121","5.755781","172.17.0.5","194.108.117.16","SSHv2","146","146","Client: "
"122","5.774330","194.108.117.16","172.17.0.5","SSHv2","162","162","Server: "
"123","5.774843","172.17.0.5","194.108.117.16","SSHv2","146","146","Client: "
"124","5.792416","194.108.117.16","172.17.0.5","SSHv2","162","162","Server: "
"125","5.792906","172.17.0.5","194.108.117.16","SSHv2","146","146","Client: "
"126","5.811729","194.108.117.16","172.17.0.5","SSHv2","146","146","Server: "
"127","5.854048","172.17.0.5","194.108.117.16","TCP","66","66","48822  >  22 [ACK] Seq=2217 Ack=14110 Win=42496 Len=0 TSval=3294847053 TSecr=494184327"
"128","7.114118","02:42:ac:11:00:03","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.3"
"129","7.166958","02:42:ac:11:00:0d","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.13"
"130","7.263649","172.17.0.5","10.248.16.30","DNS","80","80","Standard query 0xb814 A telemetry.flower.dev"
"131","7.263685","172.17.0.5","10.248.16.30","DNS","80","80","Standard query 0x433d AAAA telemetry.flower.dev"
"132","7.266156","10.248.16.30","172.17.0.5","DNS","96","96","Standard query response 0xb814 A telemetry.flower.dev A 66.241.125.238"
"133","7.266469","10.248.16.30","172.17.0.5","DNS","167","167","Standard query response 0x433d AAAA telemetry.flower.dev SOA ns-1550.awsdns-01.co.uk"
"134","7.266672","172.17.0.5","66.241.125.238","TCP","74","74","60090  >  443 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3032608794 TSecr=0 WS=512"
"135","7.304563","66.241.125.238","172.17.0.5","TCP","74","74","443  >  60090 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1683237392 TSecr=3032608794 WS=2048"
"136","7.304595","172.17.0.5","66.241.125.238","TCP","66","66","60090  >  443 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3032608831 TSecr=1683237392"
"137","7.305230","172.17.0.5","66.241.125.238","TLSv1.3","583","583","Client Hello (SNI=telemetry.flower.dev)"
"138","7.343074","66.241.125.238","172.17.0.5","TCP","66","66","443  >  60090 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=1683237431 TSecr=3032608832"
"139","7.347301","66.241.125.238","172.17.0.5","TLSv1.3","1514","1514","Server Hello, Change Cipher Spec, Application Data"
"140","7.347307","172.17.0.5","66.241.125.238","TCP","66","66","60090  >  443 [ACK] Seq=518 Ack=1449 Win=42496 Len=0 TSval=3032608874 TSecr=1683237435"
"141","7.347311","66.241.125.238","172.17.0.5","TCP","1514","1514","443  >  60090 [PSH, ACK] Seq=1449 Ack=518 Win=67584 Len=1448 TSval=1683237435 TSecr=3032608832 [TCP segment of a reassembled PDU]"
"142","7.347316","172.17.0.5","66.241.125.238","TCP","66","66","60090  >  443 [ACK] Seq=518 Ack=2897 Win=41984 Len=0 TSval=3032608874 TSecr=1683237435"
"143","7.347317","66.241.125.238","172.17.0.5","TLSv1.3","1327","1327","Application Data, Application Data, Application Data"
"144","7.347319","172.17.0.5","66.241.125.238","TCP","66","66","60090  >  443 [ACK] Seq=518 Ack=4158 Win=40960 Len=0 TSval=3032608874 TSecr=1683237435"
"145","7.359774","172.17.0.5","66.241.125.238","TLSv1.3","146","146","Change Cipher Spec, Application Data"
"146","7.360014","172.17.0.5","66.241.125.238","TLSv1.3","270","270","Application Data"
"147","7.360053","172.17.0.5","66.241.125.238","TLSv1.3","696","696","Application Data"
