"No.","Time","Source","Destination","Protocol","Length","Frame length on the wire","Info"
"37","9.372606","10.0.0.100","10.0.1.100","Kafka","1514","1514","Kafka Response (Undecoded, Request Missing)"
"38","9.372667","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=8750 Win=41984 Len=0 TSval=2897378246 TSecr=690303579"
"39","9.384694","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=8750 Ack=346 Win=43520 Len=1448 TSval=690303579 TSecr=2897378198 [TCP segment of a reassembled PDU]"
"40","9.396800","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=10198 Ack=346 Win=43520 Len=1448 TSval=690303579 TSecr=2897378198 [TCP segment of a reassembled PDU]"
"41","9.396810","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=11646 Win=41984 Len=0 TSval=2897378270 TSecr=690303579"
"42","9.408921","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=11646 Ack=346 Win=43520 Len=1448 TSval=690303579 TSecr=2897378198 [TCP segment of a reassembled PDU]"
"43","9.421018","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=13094 Ack=346 Win=43520 Len=1448 TSval=690303579 TSecr=2897378198 [TCP segment of a reassembled PDU]"
"44","9.421029","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=14542 Win=41984 Len=0 TSval=2897378294 TSecr=690303579"
"45","9.433133","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=14542 Ack=389 Win=43520 Len=1448 TSval=690303579 TSecr=2897378198 [TCP segment of a reassembled PDU]"
"46","9.445252","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=15990 Ack=389 Win=43520 Len=1448 TSval=690303579 TSecr=2897378198 [TCP segment of a reassembled PDU]"
"47","9.445262","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=17438 Win=41984 Len=0 TSval=2897378319 TSecr=690303579"
"48","9.457374","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=17438 Ack=389 Win=43520 Len=1448 TSval=690303602 TSecr=2897378198 [TCP segment of a reassembled PDU]"
"49","9.469471","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=18886 Ack=389 Win=43520 Len=1448 TSval=690303603 TSecr=2897378222 [TCP segment of a reassembled PDU]"
"50","9.469482","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=20334 Win=41984 Len=0 TSval=2897378343 TSecr=690303602"
"51","9.481584","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [PSH, ACK] Seq=20334 Ack=389 Win=43520 Len=1448 TSval=690303603 TSecr=2897378222 [TCP segment of a reassembled PDU]"
"52","9.493694","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=21782 Ack=389 Win=43520 Len=1448 TSval=690303603 TSecr=2897378222 [TCP segment of a reassembled PDU]"
"53","9.493705","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=23230 Win=41984 Len=0 TSval=2897378367 TSecr=690303603"
"54","9.505817","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=23230 Ack=389 Win=43520 Len=1448 TSval=690303627 TSecr=2897378246 [TCP segment of a reassembled PDU]"
"55","9.517921","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=24678 Ack=389 Win=43520 Len=1448 TSval=690303627 TSecr=2897378246 [TCP segment of a reassembled PDU]"
"56","9.517932","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=26126 Win=41984 Len=0 TSval=2897378391 TSecr=690303627"
"57","9.530047","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=26126 Ack=389 Win=43520 Len=1448 TSval=690303627 TSecr=2897378246 [TCP segment of a reassembled PDU]"
"58","9.542147","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=27574 Ack=389 Win=43520 Len=1448 TSval=690303627 TSecr=2897378246 [TCP segment of a reassembled PDU]"
"59","9.542167","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=29022 Win=41984 Len=0 TSval=2897378415 TSecr=690303627"
"60","9.554256","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=29022 Ack=389 Win=43520 Len=1448 TSval=690303651 TSecr=2897378270 [TCP segment of a reassembled PDU]"
"61","9.566388","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=30470 Ack=389 Win=43520 Len=1448 TSval=690303651 TSecr=2897378270 [TCP segment of a reassembled PDU]"
"62","9.566399","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=31918 Win=41984 Len=0 TSval=2897378440 TSecr=690303651"
"63","9.578480","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [PSH, ACK] Seq=31918 Ack=389 Win=43520 Len=1448 TSval=690303651 TSecr=2897378270 [TCP segment of a reassembled PDU]"
"64","9.590592","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=33366 Ack=389 Win=43520 Len=1448 TSval=690303651 TSecr=2897378270 [TCP segment of a reassembled PDU]"
"65","9.590603","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=34814 Win=45568 Len=0 TSval=2897378464 TSecr=690303651"
"66","9.602704","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=34814 Ack=389 Win=43520 Len=1448 TSval=690303675 TSecr=2897378294 [TCP segment of a reassembled PDU]"
"67","9.614816","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=36262 Ack=389 Win=43520 Len=1448 TSval=690303675 TSecr=2897378294 [TCP segment of a reassembled PDU]"
"68","9.614827","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=37710 Win=51200 Len=0 TSval=2897378488 TSecr=690303675"
"69","9.626913","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=37710 Ack=389 Win=43520 Len=1448 TSval=690303675 TSecr=2897378294 [TCP segment of a reassembled PDU]"
"70","9.639038","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=39158 Ack=389 Win=43520 Len=1448 TSval=690303675 TSecr=2897378294 [TCP segment of a reassembled PDU]"
"71","9.639049","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=40606 Win=56832 Len=0 TSval=2897378512 TSecr=690303675"
"72","9.651149","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=40606 Ack=389 Win=43520 Len=1448 TSval=690303700 TSecr=2897378319 [TCP segment of a reassembled PDU]"
"73","9.663261","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=42054 Ack=389 Win=43520 Len=1448 TSval=690303700 TSecr=2897378319 [TCP segment of a reassembled PDU]"
"74","9.663272","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=43502 Win=62976 Len=0 TSval=2897378537 TSecr=690303700"
"75","9.675375","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=43502 Ack=389 Win=43520 Len=1448 TSval=690303700 TSecr=2897378319 [TCP segment of a reassembled PDU]"
"76","9.687487","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=44950 Ack=389 Win=43520 Len=1448 TSval=690303700 TSecr=2897378319 [TCP segment of a reassembled PDU]"
"77","9.687497","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=46398 Win=68608 Len=0 TSval=2897378561 TSecr=690303700"
"78","9.699601","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=46398 Ack=389 Win=43520 Len=1448 TSval=690303724 TSecr=2897378343 [TCP segment of a reassembled PDU]"
"79","9.711689","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [PSH, ACK] Seq=47846 Ack=389 Win=43520 Len=1448 TSval=690303724 TSecr=2897378343 [TCP segment of a reassembled PDU]"
"80","9.711700","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=49294 Win=74240 Len=0 TSval=2897378585 TSecr=690303724"
"81","9.723824","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=49294 Ack=389 Win=43520 Len=1448 TSval=690303724 TSecr=2897378343 [TCP segment of a reassembled PDU]"
"82","9.735933","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=50742 Ack=389 Win=43520 Len=1448 TSval=690303724 TSecr=2897378343 [TCP segment of a reassembled PDU]"
"83","9.735944","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=52190 Win=80384 Len=0 TSval=2897378609 TSecr=690303724"
"84","9.748048","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=52190 Ack=389 Win=43520 Len=1448 TSval=690303748 TSecr=2897378367 [TCP segment of a reassembled PDU]"
"85","9.760157","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=53638 Ack=389 Win=43520 Len=1448 TSval=690303748 TSecr=2897378367 [TCP segment of a reassembled PDU]"
"86","9.760167","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=55086 Win=86016 Len=0 TSval=2897378633 TSecr=690303748"
"87","9.772270","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=55086 Ack=389 Win=43520 Len=1448 TSval=690303748 TSecr=2897378367 [TCP segment of a reassembled PDU]"
"88","9.784386","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=56534 Ack=389 Win=43520 Len=1448 TSval=690303748 TSecr=2897378367 [TCP segment of a reassembled PDU]"
"89","9.784397","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=57982 Win=91648 Len=0 TSval=2897378658 TSecr=690303748"
"90","9.796494","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=57982 Ack=389 Win=43520 Len=1448 TSval=690303772 TSecr=2897378391 [TCP segment of a reassembled PDU]"
"91","9.808575","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=59430 Ack=389 Win=43520 Len=1448 TSval=690303772 TSecr=2897378391 [TCP segment of a reassembled PDU]"
"92","9.808585","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=60878 Win=97280 Len=0 TSval=2897378682 TSecr=690303772"
"93","9.820704","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=60878 Ack=389 Win=43520 Len=1448 TSval=690303772 TSecr=2897378391 [TCP segment of a reassembled PDU]"
"94","9.832828","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=62326 Ack=389 Win=43520 Len=1448 TSval=690303772 TSecr=2897378391 [TCP segment of a reassembled PDU]"
"95","9.832838","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=63774 Win=103424 Len=0 TSval=2897378706 TSecr=690303772"
"96","9.844940","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=63774 Ack=389 Win=43520 Len=1448 TSval=690303796 TSecr=2897378415 [TCP segment of a reassembled PDU]"
"97","9.857044","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [PSH, ACK] Seq=65222 Ack=389 Win=43520 Len=1448 TSval=690303796 TSecr=2897378415 [TCP segment of a reassembled PDU]"
"98","9.857054","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=66670 Win=109056 Len=0 TSval=2897378730 TSecr=690303796"
"99","9.869164","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=66670 Ack=389 Win=43520 Len=1448 TSval=690303796 TSecr=2897378415 [TCP segment of a reassembled PDU]"
"100","9.881281","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=68118 Ack=389 Win=43520 Len=1448 TSval=690303796 TSecr=2897378415 [TCP segment of a reassembled PDU]"
"101","9.881294","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=69566 Win=114688 Len=0 TSval=2897378755 TSecr=690303796"
"102","9.893388","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=69566 Ack=389 Win=43520 Len=1448 TSval=690303821 TSecr=2897378440 [TCP segment of a reassembled PDU]"
"103","9.905498","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=71014 Ack=389 Win=43520 Len=1448 TSval=690303821 TSecr=2897378440 [TCP segment of a reassembled PDU]"
"104","9.905507","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=72462 Win=120832 Len=0 TSval=2897378779 TSecr=690303821"
"105","9.917612","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=72462 Ack=389 Win=43520 Len=1448 TSval=690303845 TSecr=2897378464 [TCP segment of a reassembled PDU]"
"106","9.929680","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=73910 Ack=389 Win=43520 Len=1448 TSval=690303845 TSecr=2897378464 [TCP segment of a reassembled PDU]"
